bmUnit,name_acquisition_date_registry,fuelType_acquisition_date_registry,bmUnitType,productionOrConsumptionFlag
T_DBAWO-5,Dogger Bank A Offshore WF 5,WIND,T,P
T_DBBWO-1,Dogger Bank B Offshore WF 1,WIND,T,P
T_DBBWO-2,Dogger Bank B Offshore WF 2,WIND,T,P
T_DBBWO-3,Dogger Bank B Offshore WF 3,WIND,T,P
T_DBBWO-4,Dogger Bank B Offshore WF 4,WIND,T,P
T_DBBWO-5,Dogger Bank B Offshore WF 5,WIND,T,P
T_DDGNO-1,Dudgeon Generator BMU 1,WIND,T,P
T_DDGNO-2,Dudgeon Generator BMU 2,WIND,T,P
T_DDGNO-3,Dudgeon Generator BMU 3,WIND,T,P
T_DDGNO-4,Dudgeon Generator BMU 4,WIND,T,P
T_DEPKG-1,Deeside Peakers,,T,P
T_DIDCB5,Didcot B main unit 5,CCGT,T,P
T_DIDCB6,Didcot B main unit 6,CCGT,T,P
T_DINO-1,Dinorwig 1,PS,T,P
T_DINO-2,Dinorwig 2,PS,T,P
T_DINO-3,Dinorwig 3,PS,T,P
T_DINO-4,Dinorwig 4,PS,T,P
T_DINO-5,Dinorwig 5,PS,T,P
T_DINO-6,Dinorwig 6,PS,T,P
T_DNLWW-1,Dunlaw Extension,WIND,T,P
T_DOREW-1,Dorenell Wind Farm One,WIND,T,P
T_DOREW-2,Dorenell Wind Farm Two,WIND,T,P
T_DOUGW-1,T-DOUGW-1,WIND,T,P
T_DRAXX-1,T_DRAXX-1,BIOMASS,T,P
T_DRAXX-10G,T_DRAXX-10G,OCGT,T,P
T_DRAXX-12G,T_DRAXX-12G,OCGT,T,P
T_DRAXX-2,T_DRAXX-2,BIOMASS,T,P
T_DRAXX-3,T_DRAXX-3,BIOMASS,T,P
T_DRAXX-4,T_DRAXX-4,BIOMASS,T,P
T_DRAXX-5,T_DRAXX-5,COAL,T,P
T_DRAXX-6,T_DRAXX-6,COAL,T,P
T_DRAXX-9G,T_DRAXX-9G,OCGT,T,P
T_DRSLW-1,Dersalloch Windfarm,WIND,T,P
T_DUNGW-1,Dunmglass Windfarm 1,WIND,T,P
T_DWEXW-1,Douglas West Extension,WIND,T,P
T_EAAO-1,East Anglia One Offshore 1,WIND,T,P
T_EAAO-2,East Anglia One Offshore 2,WIND,T,P
T_EDINW-1,Edinbane Windfarm,WIND,T,P
T_EECL-1,Enfield Energy Centre Ltd BMU1,CCGT,T,P
T_ENDRB-1,Enderby BESS,OTHER,T,P
T_ENHLW-1,Enoch Hill Wind Farm,WIND,T,P
T_ERRO-1,Errochty G1,NPSHYD,T,P
T_ERRO-2,Errochty G2,NPSHYD,T,P
T_ERRO-3,Errochty G3,NPSHYD,T,P
T_EWHLW-1,Ewe Hill II Windfarm,WIND,T,P
T_FALGW-1,Fallago Rig Wind Farm,WIND,T,P
T_FASN-1,Fasnakyle G1,NPSHYD,T,P
T_FASN-2,Fasnakyle  G2,NPSHYD,T,P
T_FERRB-1,Ferrybridge BESS BMU-1,OTHER,T,P
T_FERRB-2,Ferrybridge BESS BMU-2,OTHER,T,P
T_FFES-1,Ffestioniog 1,PS,T,P
T_FFES-2,Ffestioniog 2,PS,T,P
T_FFES-3,Ffestioniog 3,PS,T,P
T_FFES-4,Ffestioniog 4,PS,T,P
T_FINL-1,Finlarig,NPSHYD,T,P
T_FOYE-1,Foyers G1,PS,T,P
T_FOYE-2,Foyers G2,PS,T,P
T_FOYED-1,Foyers Stn Txs,,T,P
T_FSDLW-1,Freasdail Wind Farm,WIND,T,P
T_GANW-11,Galloper OSP 11,WIND,T,P
T_GANW-22,Galloper OSP 22,WIND,T,P
T_GANW-13,Galloper OSP 13,WIND,T,P
T_GANW-24,Galloper OSP 24,WIND,T,P
T_GLNDO-1,Glendoe Generator 1,NPSHYD,T,P
T_GLWSW-1,Galawhistle Wind Farm,WIND,T,P
T_GNAPW-1,Glen App Windfarm,WIND,T,P
T_GNFSW-1,Gunfleet Sands 1,WIND,T,P
T_GNFSW-2,Gunfleet Sands 2,WIND,T,P
T_GORDW-1,Gordon Bush,WIND,T,P
T_GORDW-2,Gordonbush WF Extension,WIND,T,P
T_GRAI-6,T_GRAI-6,CCGT,T,P
T_GRAI-7,T_GRAI-7,CCGT,T,P
T_GRAI-8,T_GRAI-8,CCGT,T,P
T_GRAI1G,T_GRAI1G,OCGT,T,P
T_GRAI4G,T_GRAI4G,OCGT,T,P
T_GRGBW-1,Greater Gabbard Module 1,WIND,T,P
T_GRGBW-2,Greater Gabbard Module 2,WIND,T,P
T_GRGBW-3,Greater Gabbard Module 3,WIND,T,P
T_GRIFW-1,Griffin Wind Farm 1,WIND,T,P
T_GRIFW-2,Griffin Wind Farm 2,WIND,T,P
T_GYMRD-16,GyM Onshore non est Dem 16,,T,P
T_GYMRD-2,GyM Onshore est Dem 2,,T,P
T_GYMRD-E10,GyM OSPE non est Dem 10,,T,P
